year,geo_name,short_indicator_text,long_indicator_text,stratification1,stratification_group1,stratification2,stratification_group2,cost_value
2021,Oklahoma,Household Productivity,Annual Household Productivity Losses Attributable to Diabetes,Sex,Males,Age,45-64,7.0
2021,Colorado,"By Payer, Sex, Age","Annual Direct Medical Costs Attributable to Diabetes, by Payer, Sex, and Age Group",Sex,Overall,Age,19-64,944.9
2021,Florida,Premature Mortality,Mortality Costs Attributable to Diabetes Deaths,Sex,Overall,Age,18-44,315.7
2021,Hawaii,Premature Mortality,Mortality Costs Attributable to Diabetes Deaths,Sex,Males,Age,18-44,36.0
2021,New Hampshire,Inability to Work,Annual Costs of Inability to Work Attributable to Diabetes,Sex,Females,Age,18-74,63041.0
2021,Indiana,Absenteeism,Annual Work Absenteeism Costs Attributable to Diabetes,Sex,Females,Age,65-74,537.0
2021,Maine,Household Productivity,Annual Household Productivity Losses Attributable to Diabetes,Sex,Males,Age,18+,6.3
2021,Indiana,Household Productivity,Annual Household Productivity Losses Attributable to Diabetes,Sex,Females,Age,75+,3.6
2021,Virginia,Household Productivity,Annual Household Productivity Losses Attributable to Diabetes,Sex,Overall,Age,45-64,534.0
2021,Washington,Inability to Work,Annual Costs of Inability to Work Attributable to Diabetes,Sex,Males,Age,18-44,84344.0
2021,California,Indirect Costs,Annual Total Indirect Costs Attributable to Diabetes,,,,,2458.0
2021,California,Inability to Work,Annual Costs of Inability to Work Attributable to Diabetes,Sex,Females,Age,65-74,1828.0
2021,South Carolina,Absenteeism,Annual Work Absenteeism Costs Attributable to Diabetes,Sex,Overall,Age,45-64,1009.0
2021,Arkansas,Premature Mortality,Mortality Costs Attributable to Diabetes Deaths,Sex,Females,Age,45-64,645.0
2021,Kentucky,Absenteeism,Annual Work Absenteeism Costs Attributable to Diabetes,Sex,Females,Age,65-74,3.1
2021,Georgia,Presenteeism,Annual Work Presenteeism Costs Attributable to Diabetes,Sex,Females,Age,18-74,16.0
2021,Wisconsin,Total Costs,Annual Total Costs Attributable to Diabetes,Sex,Males,Age,19-64,3402.1
2021,Nebraska,Household Productivity,Annual Household Productivity Losses Attributable to Diabetes,Sex,Females,Age,65-74,6.1
2021,Illinois,Premature Mortality,Mortality Costs Attributable to Diabetes Deaths,Sex,Females,Age,75-84,748.0
2021,Idaho,By Payer,"Annual Direct Medical Costs Attributable to Diabetes, by Payer",Sex,Overall,Age,65+,342.9
2021,California,Absenteeism,Annual Work Absenteeism Costs Attributable to Diabetes,Sex,Males,Age,45-64,2.9
2021,United States,Absenteeism,Annual Work Absenteeism Costs Attributable to Diabetes,Sex,Overall,Age,65-74,78.0
2021,Texas,Household Productivity,Annual Household Productivity Losses Attributable to Diabetes,Sex,Overall,Age,18+,377.0
2021,Vermont,Total Costs,Annual Total Costs Attributable to Diabetes,Sex,Females,Age,19-64,269.6
2021,Florida,Premature Mortality,Mortality Costs Attributable to Diabetes Deaths,Sex,Males,Age,45-64,811.2
2021,New York,Inability to Work,Annual Costs of Inability to Work Attributable to Diabetes,Sex,Females,Age,65-74,1547.0
2021,Wisconsin,Absenteeism,Annual Work Absenteeism Costs Attributable to Diabetes,Sex,Females,Age,18-44,369.0
2021,New York,Inability to Work,Annual Costs of Inability to Work Attributable to Diabetes,Sex,Males,Age,18-74,3648.0
2021,North Dakota,Inability to Work,Annual Costs of Inability to Work Attributable to Diabetes,Sex,Females,Age,18-74,55627.0
2021,Michigan,Premature Mortality,Mortality Costs Attributable to Diabetes Deaths,Sex,Overall,Age,18-44,887.8
2021,Oregon,Premature Mortality,Mortality Costs Attributable to Diabetes Deaths,Sex,Females,Age,75-84,13.0
2021,Nevada,Absenteeism,Annual Work Absenteeism Costs Attributable to Diabetes,Sex,Females,Age,18-74,931.0
2021,Florida,Presenteeism,Annual Work Presenteeism Costs Attributable to Diabetes,Sex,Males,Age,18-44,2994.0
2021,Colorado,By Payer,"Annual Direct Medical Costs Attributable to Diabetes, by Payer",Sex,Females,Age,19-64,
2021,District Of Columbia,Premature Mortality,Mortality Costs Attributable to Diabetes Deaths,Sex,Males,Age,45-64,141.0
2021,Arizona,Presenteeism,Annual Work Presenteeism Costs Attributable to Diabetes,Sex,Females,Age,45-64,16.0
2021,Alabama,Presenteeism,Annual Work Presenteeism Costs Attributable to Diabetes,Sex,Females,Age,65-74,2661.0
2021,Oklahoma,Total Costs,Annual Total Costs Attributable to Diabetes,Sex,Females,Age,65+,959.2
2021,Alabama,Indirect Costs,Annual Total Indirect Costs Attributable to Diabetes,,,,,362.0
2021,Iowa,Inability to Work,Annual Costs of Inability to Work Attributable to Diabetes,Sex,Females,Age,45-64,104.4
2021,Arizona,All Payers,"Annual Direct Medical Costs Attributable to Diabetes, All Payers",Sex,Overall,Age,19+,5619.0
2021,Nevada,Presenteeism,Annual Work Presenteeism Costs Attributable to Diabetes,Sex,Overall,Age,18-74,494.9
2021,Texas,Inability to Work,Annual Costs of Inability to Work Attributable to Diabetes,Sex,Females,Age,45-64,66702.0
2021,Massachusetts,Premature Mortality,Mortality Costs Attributable to Diabetes Deaths,Sex,Females,Age,18-44,77.3
2021,Alabama,All Payers,"Annual Direct Medical Costs Attributable to Diabetes, All Payers",Sex,Males,Age,19-64,11001.0
2021,Colorado,Absenteeism,Annual Work Absenteeism Costs Attributable to Diabetes,Sex,Females,Age,18-74,60.3
2021,Maine,Premature Mortality,Mortality Costs Attributable to Diabetes Deaths,Sex,Females,Age,45-64,77.5
2021,Colorado,Presenteeism,Annual Work Presenteeism Costs Attributable to Diabetes,Sex,Overall,Age,45-64,489.1
2021,District Of Columbia,Absenteeism,Annual Work Absenteeism Costs Attributable to Diabetes,Sex,Overall,Age,65-74,1.2
2021,Wyoming,Presenteeism,Annual Work Presenteeism Costs Attributable to Diabetes,Sex,Overall,Age,65-74,16.2
2021,South Dakota,Premature Mortality,Mortality Costs Attributable to Diabetes Deaths,Sex,Males,Age,18-44,60.5
2021,Hawaii,Total Costs,Annual Total Costs Attributable to Diabetes,Sex,Males,Age,65+,270.6
2021,Rhode Island,Indirect Costs,Annual Total Indirect Costs Attributable to Diabetes,,,,,513.1
2021,Massachusetts,Premature Mortality,Mortality Costs Attributable to Diabetes Deaths,Sex,Overall,Age,18-44,192.0
2021,Delaware,Presenteeism,Annual Work Presenteeism Costs Attributable to Diabetes,Sex,Overall,Age,18-44,4110.0
2021,Kentucky,Presenteeism,Annual Work Presenteeism Costs Attributable to Diabetes,Sex,Overall,Age,18-74,4259.0
2021,Washington,Total Costs,Annual Total Costs Attributable to Diabetes,Sex,Overall,Age,19-64,3769.2
2021,Hawaii,Premature Mortality,Mortality Costs Attributable to Diabetes Deaths,Sex,Females,Age,65-74,23.3
2021,Maryland,Absenteeism,Annual Work Absenteeism Costs Attributable to Diabetes,Sex,Males,Age,65-74,4.6
2021,Virginia,Absenteeism,Annual Work Absenteeism Costs Attributable to Diabetes,Sex,Males,Age,18-74,984.0
2021,Oregon,Premature Mortality,Mortality Costs Attributable to Diabetes Deaths,Sex,Females,Age,18-84,1260.0
2021,Minnesota,Absenteeism,Annual Work Absenteeism Costs Attributable to Diabetes,Sex,Males,Age,65-74,0.8
2021,New York,Total Costs,Annual Total Costs Attributable to Diabetes,Sex,Males,Age,65+,1751.5
2021,Alabama,Presenteeism,Annual Work Presenteeism Costs Attributable to Diabetes,Sex,Males,Age,18-74,595.3
2021,Iowa,Inability to Work,Annual Costs of Inability to Work Attributable to Diabetes,Sex,Females,Age,18-74,196.0
