go_id,aspect
GO:0090149,P
GO:1901524,P
GO:0012505,C
GO:0003963,F
GO:0035005,F
GO:0006661,P
GO:0006897,P
GO:0007173,P
GO:0008286,P
GO:0014829,P
GO:0048008,P
GO:0090050,P
GO:0046601,P
GO:0007099,P
GO:0120098,C
GO:0120099,C
GO:0007268,P
GO:0016167,F
GO:1904399,F
GO:0007169,P
GO:0035860,P
GO:0019898,C
GO:0016358,P
GO:0050672,P
GO:0007518,P
GO:0001784,F
GO:0030971,F
GO:0010506,P
GO:0043409,P
GO:0005801,C
GO:0030133,C
GO:0030139,C
GO:0004567,F
GO:0009313,P
GO:0035577,C
GO:0043202,C
GO:0031996,F
GO:0023035,P
GO:0033209,P
GO:0043236,F
GO:0007213,P
GO:0043113,P
GO:0045162,P
GO:0050808,P
GO:0005604,C
GO:0140148,C
GO:0033823,F
GO:0006493,P
GO:0008475,F
GO:0032964,P
GO:0030867,C
GO:0042795,P
GO:0008023,C
GO:0005436,F
GO:0015143,F
GO:0015562,F
GO:0019534,F
GO:0022857,F
GO:0042910,F
GO:0015747,P
GO:0015760,P
GO:0046415,P
GO:1990961,P
GO:0002456,P
GO:0050798,P
GO:0008206,P
GO:0001221,F
GO:0004879,F
GO:0006338,P
GO:0006355,P
GO:0009792,P
GO:0045070,P
GO:0045277,C
GO:0008237,F
GO:0061133,F
GO:0061578,F
GO:0070628,F
GO:0000724,P
GO:0006303,P
GO:0016241,P
GO:0016579,P
GO:0061136,P
GO:0070536,P
GO:0008541,C
GO:1990275,F
GO:1903026,P
GO:0019828,F
GO:0048156,F
GO:0051087,F
GO:0070063,F
GO:0006997,P
GO:0010564,P
GO:0033292,P
GO:0045664,P
GO:0048711,P
GO:0060988,P
GO:1902430,P
GO:0030424,C
GO:0060987,C
GO:0090571,C
GO:0030864,C
GO:0003151,P
GO:0007043,P
GO:0007179,P
GO:0007612,P
GO:0016525,P
GO:0035633,P
GO:0060021,P
GO:0060325,P
GO:1903142,P
GO:1903348,P
GO:1990963,P
