gene_symbol,total_submissions,total_alleles,pathogenic_likely_pathogenic_alleles,uncertain_alleles,conflict_alleles,yield_bin
ABCC1,719,653,15.0,300.0,1.0,6-20
ABCC10,326,305,,241.0,0.0,none
ABCC11,321,294,,213.0,1.0,none
ABCC12,247,237,,193.0,0.0,none
ABCC2,2090,1345,205.0,368.0,96.0,100+
ABCC3,285,264,,177.0,0.0,none
ABCC4,380,314,2.0,150.0,0.0,1-5
ABCC5,245,220,1.0,137.0,0.0,1-5
ABCC5-AS1,22,20,1.0,1.0,0.0,1-5
ABCC6,3829,2226,382.0,897.0,83.0,100+
ABCC8,6489,3008,500.0,826.0,389.0,100+
ABCC9,3900,2288,108.0,976.0,121.0,100+
ABCD1,3559,2073,552.0,526.0,145.0,100+
ABCD2,108,99,,78.0,0.0,none
ABCD3,289,247,2.0,121.0,1.0,1-5
ABCD4,937,587,47.0,182.0,13.0,21-100
ABCE1,105,85,,28.0,0.0,none
ABCF1,152,131,,83.0,0.0,none
ABCF2,165,125,1.0,27.0,0.0,1-5
ABCF2-H2BK1,116,76,1.0,21.0,0.0,1-5
ABCF3,205,184,,96.0,0.0,none
ABCG1,312,201,4.0,70.0,0.0,1-5
ABCG2,132,109,1.0,47.0,1.0,1-5
ABCG4,120,109,,63.0,0.0,none
ABCG5,1838,1005,80.0,484.0,67.0,21-100
ABCG8,2121,1040,68.0,495.0,97.0,21-100
ABHD1,110,107,,81.0,0.0,none
ABHD10,135,86,,52.0,0.0,none
ABHD11,329,245,1.0,65.0,0.0,1-5
ABHD11-AS1,177,169,,5.0,0.0,none
ABHD12,1026,677,63.0,284.0,30.0,21-100
ABHD12B,108,87,,65.0,0.0,none
ABHD13,177,170,,50.0,0.0,none
ABHD14A,54,54,,42.0,0.0,none
ABHD14A-ACY1,365,244,14.0,140.0,1.0,6-20
ABHD14B,49,49,,31.0,0.0,none
ABHD15,112,112,,101.0,0.0,none
ABHD16A,168,130,9.0,73.0,2.0,6-20
ABHD16B,175,169,,128.0,0.0,none
ABHD16B-AS1,135,135,,118.0,0.0,none
ABHD17A,103,96,,59.0,0.0,none
ABHD17B,85,75,,30.0,0.0,none
ABHD17C,55,54,,30.0,0.0,none
ABHD18,161,126,3.0,64.0,0.0,1-5
ABHD2,108,99,1.0,46.0,0.0,1-5
ABHD3,104,99,,53.0,0.0,none
ABHD4,90,90,,58.0,0.0,none
ABHD5,523,372,34.0,164.0,11.0,21-100
ABHD6,68,67,,51.0,0.0,none
ABHD8,70,67,,52.0,0.0,none
ABI1,110,92,1.0,44.0,0.0,1-5
ABI2,83,76,,36.0,1.0,none
ABI3,101,91,,65.0,0.0,none
ABI3BP,215,201,,149.0,0.0,none
ABITRAM,100,97,,47.0,0.0,none
ABL1,1188,956,28.0,307.0,36.0,21-100
ABL2,183,171,1.0,118.0,0.0,1-5
ABLIM1,210,179,1.0,117.0,0.0,1-5
ABLIM2,262,247,,128.0,0.0,none
ABLIM3,166,156,,124.0,0.0,none
ABO,151,100,,10.0,0.0,none
ABR,307,264,29.0,125.0,0.0,21-100
ABR-AS1,50,40,,3.0,0.0,none
ABRA,124,119,,76.0,0.0,none
ABRACL,35,35,,18.0,0.0,none
ABRAXAS1,1474,1052,1.0,620.0,38.0,1-5
ABRAXAS2,141,127,2.0,59.0,0.0,1-5
ABT1,64,63,,55.0,0.0,none
ABTB1,196,141,,105.0,0.0,none
