year,geoid,sex,race_ethnicity,rate,unit,rate_type
2022,02170,Female,Black,,"per 100,000 population","Age-adjusted, Spatially Smoothed, 3-year Average Rate"
2022,02180,Female,Black,,"per 100,000 population","Age-adjusted, Spatially Smoothed, 3-year Average Rate"
2022,02185,Female,Black,,"per 100,000 population","Age-adjusted, Spatially Smoothed, 3-year Average Rate"
2022,02188,Female,Black,,"per 100,000 population","Age-adjusted, Spatially Smoothed, 3-year Average Rate"
2022,02195,Female,Black,,"per 100,000 population","Age-adjusted, Spatially Smoothed, 3-year Average Rate"
2022,02198,Female,Black,,"per 100,000 population","Age-adjusted, Spatially Smoothed, 3-year Average Rate"
2022,02220,Female,Black,,"per 100,000 population","Age-adjusted, Spatially Smoothed, 3-year Average Rate"
2022,02230,Female,Black,,"per 100,000 population","Age-adjusted, Spatially Smoothed, 3-year Average Rate"
2022,02240,Female,Black,,"per 100,000 population","Age-adjusted, Spatially Smoothed, 3-year Average Rate"
2022,02261,Female,Black,,"per 100,000 population","Age-adjusted, Spatially Smoothed, 3-year Average Rate"
2022,02275,Female,Black,,"per 100,000 population","Age-adjusted, Spatially Smoothed, 3-year Average Rate"
2022,02282,Female,Black,,"per 100,000 population","Age-adjusted, Spatially Smoothed, 3-year Average Rate"
2022,02290,Female,Black,,"per 100,000 population","Age-adjusted, Spatially Smoothed, 3-year Average Rate"
2022,02013,Overall,Hispanic,,"per 100,000 population","Age-adjusted, Spatially Smoothed, 3-year Average Rate"
2022,02016,Overall,Hispanic,,"per 100,000 population","Age-adjusted, Spatially Smoothed, 3-year Average Rate"
