pubmed_id,first_author,pub_date,journal,study_title
18794853,Raychaudhuri S,2008-09-14,Nat Genet,Common variants at CD40 and other loci confer risk of rheumatoid arthritis.
32193296,Grasby KL,2020-03-01,Science,The genetic architecture of the human cerebral cortex.
36575460,Kanoni S,2022-12-27,Genome Biol,"Implicating genes, pleiotropy, and sexual dimorphism at blood lipid loci through multi-ancestry meta-analysis."
19525955,Bahlo M,2009-06-14,Nat Genet,Genome-wide association study identifies new multiple sclerosis susceptibility loci on chromosomes 12 and 20.
35449187,Kim Y,2022-04-21,Commun Biol,Genome-wide association study of actinic keratosis identifies new susceptibility loci implicated in pigmentation and immune regulation pathways.
21572414,Suhre K,2011-05-15,Nat Genet,A genome-wide association study of metabolic traits in human urine.
36301540,Deak JD,2022-10-03,JAMA Netw Open,Genome-Wide Investigation of Maximum Habitual Alcohol Intake in US Veterans in Relation to Alcohol Consumption Traits and Alcohol Use Disorder.
37072623,Wang X,2023-04-18,J Hum Genet,"Common and rare variants associated with cardiometabolic traits across 98,622 whole-genome sequences in the All of Us research program."
39232002,Ambalavanan A,2024-09-04,Nat Commun,Human milk oligosaccharides are associated with maternal genetics and respiratory health of human milk-fed children.
19300499,Takeuchi F,2009-03-20,PLoS Genet,"A genome-wide association study confirms VKORC1, CYP2C9, and CYP4F2 as principal genetic determinants of warfarin dose."
26561523,de Vries PS,2015-11-10,Hum Mol Genet,A meta-analysis of 120 246 individuals identifies 18 new loci for fibrinogen concentration.
35210625,Barc J,2022-02-24,Nat Genet,Genome-wide association analyses identify new Brugada syndrome risk loci and highlight a new mechanism of sodium channel regulation in disease susceptibility.
36672180,Tirozzi A,2023-01-06,Cells,"A Multi-Trait Association Analysis of Brain Disorders and Platelet Traits Identifies Novel Susceptibility Loci for Major Depression, Alzheimer's and Parkinson's Disease."
29892016,Schumacher FR,2018-06-11,Nat Genet,"Association analyses of more than 140,000 men identify 63 new prostate cancer susceptibility loci."
33574239,Eriksson D,2021-02-11,Nat Commun,GWAS for autoimmune Addison's disease identifies multiple risk loci and highlights AIRE in disease susceptibility.
20037589,Illig T,2009-12-27,Nat Genet,A genome-wide perspective of genetic variation in human metabolism.
39366959,Gorman BR,2024-10-04,Nat Commun,Multi-ancestry GWAS meta-analyses of lung cancer reveal susceptibility loci and elucidate smoking-independent genetic risk.
28753643,Yeo A,2017-07-28,PLoS One,"Pharmacogenetic meta-analysis of baseline risk factors, pharmacodynamic, efficacy and tolerability endpoints from two large global cardiovascular outcomes trials for darapladib."
23548203,Zhang M,2013-04-01,Hum Mol Genet,Genome-wide association studies identify several new loci associated with pigmentation traits and skin cancer risk in European Americans.
31903547,Pei YF,2020-01-05,Clin Genet,Bivariate genome-wide association analysis identified three pleiotropic loci underlying osteoporosis and obesity.
38172110,Riesmeijer SA,2024-01-03,Nat Commun,A genome-wide association meta-analysis implicates Hedgehog and Notch signaling in Dupuytren's disease.
26068415,Draisma HHM,2015-06-12,Nat Commun,Genome-wide association study identifies novel genetic variants contributing to variation in blood metabolite levels.
27989323,Ahola-Olli AV,2016-12-13,Am J Hum Genet,Genome-wide Association Study Identifies 27 Loci Influencing Concentrations of Circulating Cytokines and Growth Factors.
37919453,Nethander M,2023-11-02,Nat Genet,An atlas of genetic determinants of forearm fracture.
23603761,Hinks A,2013-04-21,Nat Genet,Dense genotyping of immune-related disease regions identifies 14 new susceptibility loci for juvenile idiopathic arthritis.
36333501,Ishigaki K,2022-11-04,Nat Genet,Multi-ancestry genome-wide association analyses identify novel genetic mechanisms in rheumatoid arthritis.
